"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.7","B","","","1"
"2013","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.4","B","","","1"
"2014","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.0","B","","","1"
"2015","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","14.2","B","","","1"
"2016","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.0","B","","","1"
"2017","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.6","A","","","1"
"2018","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.3","B","","","1"
"2015","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","14.5","B","","","1"
"2016","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","12.8","B","","","1"
"2017","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","11.7","A","","","1"
"2018","Canada","2016A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","11.0","B","","","1"
"1976","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.5","","","","1"
"1977","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.9","","","","1"
"1978","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.4","","","","1"
"1979","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.6","","","","1"
"1980","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","10.9","","","","1"
"1981","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","10.6","","","","1"
"1982","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.0","","","","1"
"1983","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.8","","","","1"
"1984","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.9","","","","1"
"1985","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","10.9","","","","1"
"1986","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","10.6","","","","1"
"1987","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","10.4","","","","1"
"1988","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","9.7","","","","1"
"1989","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","9.4","","","","1"
"1990","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","10.4","","","","1"
"1991","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","10.7","","","","1"
"1992","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.0","","","","1"
"1993","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.1","B","","","1"
"1994","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.1","A","","","1"
"1995","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.5","B","","","1"
"1996","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.9","A","","","1"
"1997","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.0","A","","","1"
"1998","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.0","B","","","1"
"1999","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.6","B","","","1"
"2000","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.7","B","","","1"
"2001","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.4","B","","","1"
"2002","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.0","B","","","1"
"2003","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.4","B","","","1"
"2004","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.6","B","","","1"
"2005","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.1","B","","","1"
"2006","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.5","B","","","1"
"2007","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.5","B","","","1"
"2008","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.4","B","","","1"
"2009","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","13.0","B","","","1"
"2010","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.7","B","","","1"
"2011","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.6","B","","","1"
"2012","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.8","B","","","1"
"2013","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.8","B","","","1"
"2014","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.5","B","","","1"
"2015","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","13.7","B","","","1"
"2016","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","12.2","B","","","1"
"2017","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.8","B","","","1"
"2018","Canada","2016A000011124","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515874","1.5.1.2","11.8","B","","","1"
"2015","Canada","2016A000011124","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132207","1.5.6.2","14.2","B","","","1"
"2016","Canada","2016A000011124","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132207","1.5.6.2","12.3","B","","","1"
"2017","Canada","2016A000011124","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132207","1.5.6.2","11.5","B","","","1"
"2018","Canada","2016A000011124","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132207","1.5.6.2","11.1","B","","","1"
"1976","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.6","","","","1"
"1977","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","15.2","","","","1"
"1978","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.4","","","","1"
"1979","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.7","","","","1"
"1980","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.5","","","","1"
"1981","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.4","","","","1"
"1982","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.4","","","","1"
"1983","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.0","","","","1"
"1984","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.1","","","","1"
"1985","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.4","","","","1"
"1986","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.6","","","","1"
"1987","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.6","","","","1"
"1988","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.3","","","","1"
"1989","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","11.6","","","","1"
"1990","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.9","","","","1"
"1991","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.2","","","","1"
"1992","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.7","","","","1"
"1993","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.7","B","","","1"
"1994","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.6","A","","","1"
"1995","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.6","A","","","1"
"1996","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.5","A","","","1"
"1997","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.4","A","","","1"
"1998","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.7","B","","","1"
"1999","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.3","A","","","1"
"2000","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.9","B","","","1"
"2001","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.5","B","","","1"
"2002","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.8","B","","","1"
"2003","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.1","B","","","1"
"2004","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.2","B","","","1"
"2005","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.8","B","","","1"
"2006","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.3","B","","","1"
"2007","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.0","B","","","1"
"2008","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.4","B","","","1"
"2009","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.4","B","","","1"
"2010","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.3","B","","","1"
"2011","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.0","B","","","1"
"2012","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.5","B","","","1"
"2013","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.0","B","","","1"
"2014","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.5","B","","","1"
"2015","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","14.7","B","","","1"
"2016","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.8","B","","","1"
"2017","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","13.4","B","","","1"
"2018","Canada","2016A000011124","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515922","1.9.1.2","12.8","B","","","1"
"2015","Canada","2016A000011124","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132219","1.9.6.2","14.8","B","","","1"
"2016","Canada","2016A000011124","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132219","1.9.6.2","13.3","B","","","1"
"2017","Canada","2016A000011124","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132219","1.9.6.2","11.9","B","","","1"
"2018","Canada","2016A000011124","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132219","1.9.6.2","10.9","B","","","1"
"1976","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","28.0","","","","1"
"1977","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","21.2","","","","1"
"1978","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","25.2","","","","1"
"1979","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","24.8","","","","1"
"1980","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","26.8","","","","1"
"1981","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","19.9","","","","1"
"1982","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","21.2","","","","1"
"1983","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","26.3","","","","1"
"1984","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","23.2","","","","1"
"1985","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","23.8","","","","1"
"1986","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","23.3","","","","1"
"1987","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","22.0","","","","1"
"1988","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","18.9","","","","1"
"1989","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","16.7","","","","1"
"1990","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","18.6","","","","1"
"1991","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","17.4","","","","1"
"1992","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","20.6","","","","1"
"1993","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","17.8","C","","","1"
"1994","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","18.0","C","","","1"
"1995","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","18.9","C","","","1"
"1996","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","18.9","B","","","1"
"1997","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","18.8","C","","","1"
"1998","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","19.0","C","","","1"
"1999","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","21.4","C","","","1"
"2000","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","21.4","C","","","1"
"2001","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","19.9","C","","","1"
"2002","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","22.0","C","","","1"
"2003","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","19.7","C","","","1"
"2004","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","21.5","C","","","1"
"2005","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","19.1","C","","","1"
"2006","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","17.3","C","","","1"
"2007","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","15.3","C","","","1"
"2008","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","16.6","C","","","1"
"2009","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","15.4","C","","","1"
"2010","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","15.2","C","","","1"
"2011","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","13.8","D","","","1"
"2012","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","13.4","C","","","1"
"2013","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","12.8","D","","","1"
"2014","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","14.4","D","","","1"
"2015","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","15.4","C","","","1"
"2016","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","15.6","C","","","1"
"2017","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","15.0","C","","","1"
"2018","Newfoundland and Labrador","2016A000210","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96516642","3.1.1.2","16.0","C","","","1"
"2015","Newfoundland and Labrador","2016A000210","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132399","3.1.6.2","13.1","C","","","1"
